"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","bound.sulfur.dioxide","pH","sulphates","alcohol","quality"
"Baja","Alta","Muy baja","Muy baja","Baja","Baja","Baja","Alta","Baja","Muy baja",5
"Normal","Muy alta","Muy baja","Muy baja","Normal","Alta","Normal","Baja","Normal","Baja",5
"Normal","Alta","Muy baja","Muy baja","Normal","Normal","Normal","Baja","Normal","Baja",5
"Muy alta","Muy baja","Muy alta","Muy baja","Baja","Normal","Normal","Muy baja","Baja","Baja",6
"Baja","Alta","Muy baja","Muy baja","Baja","Baja","Baja","Alta","Baja","Muy baja",5
"Baja","Alta","Muy baja","Muy baja","Baja","Baja","Baja","Alta","Baja","Muy baja",5
"Normal","Normal","Muy baja","Muy baja","Muy baja","Normal","Normal","Baja","Muy baja","Muy baja",5
"Baja","Alta","Muy baja","Muy baja","Muy baja","Normal","Muy baja","Normal","Muy baja","Normal",7
"Normal","Normal","Muy baja","Muy baja","Baja","Baja","Muy baja","Normal","Baja","Baja",7
"Baja","Normal","Alta","Normal","Baja","Normal","Alta","Normal","Alta","Normal",5
"Baja","Normal","Muy baja","Muy baja","Normal","Normal","Normal","Baja","Baja","Muy baja",5
"Baja","Normal","Alta","Normal","Baja","Normal","Alta","Normal","Alta","Normal",5
"Muy baja","Normal","Muy baja","Muy baja","Baja","Normal","Normal","Alta","Muy baja","Baja",5
"Normal","Normal","Normal","Muy baja","Normal","Baja","Baja","Baja","Muy alta","Muy baja",5
"Normal","Alta","Baja","Baja","Alta","Muy alta","Muy alta","Muy baja","Alta","Muy baja",5
"Normal","Alta","Baja","Baja","Alta","Muy alta","Muy alta","Muy baja","Alta","Muy baja",5
"Normal","Muy baja","Muy alta","Muy baja","Normal","Alta","Alta","Baja","Normal","Normal",7
"Normal","Normal","Normal","Muy baja","Muy alta","Normal","Normal","Muy baja","Muy alta","Muy baja",5
"Baja","Normal","Muy baja","Normal","Baja","Muy baja","Baja","Normal","Muy baja","Muy baja",4
"Normal","Muy baja","Muy alta","Muy baja","Muy alta","Normal","Normal","Muy baja","Alta","Muy baja",6
"Normal","Muy baja","Alta","Muy baja","Baja","Alta","Normal","Normal","Muy baja","Muy baja",6
"Baja","Baja","Normal","Muy baja","Baja","Alta","Normal","Alta","Normal","Baja",5
"Normal","Baja","Normal","Muy baja","Normal","Baja","Baja","Muy baja","Alta","Baja",5
"Normal","Normal","Baja","Muy baja","Baja","Baja","Alta","Muy baja","Muy baja","Muy baja",5
"Baja","Baja","Baja","Muy baja","Baja","Normal","Baja","Normal","Baja","Baja",6
"Muy baja","Baja","Baja","Muy baja","Baja","Baja","Muy baja","Normal","Baja","Muy baja",5
"Baja","Baja","Normal","Muy baja","Baja","Muy baja","Muy baja","Baja","Baja","Baja",5
"Normal","Baja","Normal","Muy baja","Normal","Baja","Baja","Muy baja","Alta","Baja",5
"Baja","Alta","Muy baja","Muy baja","Baja","Baja","Baja","Alta","Baja","Muy baja",5
"Normal","Alta","Muy baja","Muy baja","Baja","Muy baja","Muy baja","Normal","Baja","Baja",6
"Baja","Alta","Muy baja","Muy baja","Baja","Normal","Alta","Normal","Baja","Normal",5
"Baja","Alta","Muy baja","Muy baja","Normal","Normal","Muy baja","Alta","Baja","Normal",6
"Normal","Alta","Baja","Muy baja","Baja","Normal","Muy alta","Muy baja","Normal","Baja",5
"Baja","Normal","Baja","Alta","Baja","Muy alta","Normal","Alta","Muy baja","Muy baja",6
"Muy baja","Muy baja","Normal","Muy baja","Normal","Baja","Normal","Normal","Baja","Muy baja",5
"Normal","Alta","Muy baja","Normal","Baja","Muy baja","Muy baja","Normal","Baja","Baja",6
"Normal","Normal","Baja","Muy baja","Baja","Muy baja","Muy baja","Normal","Baja","Alta",6
"Normal","Baja","Normal","Muy baja","Muy baja","Baja","Baja","Baja","Normal","Baja",7
"Muy baja","Muy alta","Baja","Muy baja","Alta","Muy baja","Muy baja","Alta","Muy baja","Baja",4
"Baja","Baja","Alta","Normal","Baja","Baja","Alta","Normal","Alta","Normal",5
"Baja","Baja","Alta","Normal","Baja","Baja","Alta","Normal","Alta","Normal",5
"Normal","Normal","Normal","Baja","Baja","Normal","Baja","Baja","Muy baja","Muy baja",4
"Baja","Normal","Baja","Muy baja","Muy alta","Muy baja","Muy baja","Baja","Alta","Normal",6
"Normal","Alta","Normal","Muy baja","Muy baja","Baja","Muy baja","Baja","Muy alta","Normal",5
"Baja","Alta","Muy baja","Muy baja","Muy baja","Muy baja","Muy baja","Alta","Muy baja","Baja",5
"Muy baja","Normal","Baja","Muy baja","Muy baja","Muy baja","Alta","Muy alta","Baja","Muy alta",4
"Baja","Muy alta","Alta","Muy baja","Normal","Normal","Muy alta","Baja","Normal","Muy baja",5
"Normal","Muy baja","Muy alta","Muy baja","Normal","Baja","Baja","Baja","Baja","Baja",5
"Muy baja","Baja","Normal","Muy baja","Muy baja","Muy baja","Muy baja","Normal","Baja","Muy baja",5
"Muy baja","Muy baja","Alta","Muy baja","Baja","Baja","Alta","Normal","Baja","Muy baja",5
"Normal","Alta","Normal","Muy baja","Baja","Muy baja","Baja","Muy baja","Normal","Muy baja",5
"Baja","Normal","Muy baja","Muy baja","Muy baja","Muy baja","Muy baja","Normal","Baja","Muy baja",6
"Baja","Normal","Muy baja","Muy baja","Muy baja","Muy baja","Muy baja","Normal","Baja","Muy baja",6
"Normal","Baja","Alta","Baja","Baja","Alta","Muy alta","Baja","Baja","Muy baja",5
"Baja","Normal","Baja","Baja","Normal","Alta","Normal","Muy baja","Baja","Normal",6
"Baja","Alta","Muy baja","Baja","Baja","Alta","Baja","Normal","Muy baja","Baja",5
"Alta","Baja","Muy alta","Baja","Baja","Muy baja","Muy baja","Muy baja","Baja","Baja",5
"Baja","Alta","Baja","Normal","Normal","Muy alta","Alta","Baja","Normal","Muy baja",5
"Normal","Normal","Baja","Muy baja","Baja","Normal","Normal","Normal","Baja","Normal",5
"Baja","Baja","Normal","Muy baja","Baja","Baja","Normal","Normal","Baja","Muy baja",6
"Normal","Baja","Alta","Muy baja","Baja","Normal","Normal","Normal","Baja","Muy baja",5
"Baja","Alta","Muy alta","Muy baja","Normal","Normal","Muy alta","Baja","Normal","Muy baja",5
"Baja","Normal","Baja","Muy baja","Baja","Baja","Baja","Normal","Baja","Baja",7
